Order Date,Region,Category,Sales,Profit
2023-02-06,Central,Office Supplies,1197.97,283.84
2021-10-21,South,Technology,430.91,107.38
2021-10-07,West,Office Supplies,432.5,129.07
2023-06-03,Central,Furniture,566.91,21.03
2021-07-17,South,Technology,1429.21,289.3
2023-09-09,East,Furniture,1220.41,-10.34
2023-01-22,South,Technology,1694.61,254.05
2021-05-24,Central,Technology,605.4,110.14
2022-09-01,Central,Furniture,1825.89,358.69
2021-07-06,East,Furniture,1492.54,-25.57
2022-04-09,East,Furniture,802.12,192.1
2022-10-22,West,Office Supplies,208.62,14.27
2023-02-03,East,Technology,528.83,-7.11
2023-08-13,West,Technology,1914.4,224.01
2022-02-07,Central,Technology,634.52,155.67
2021-05-27,Central,Furniture,673.2,193.1
2023-05-14,South,Technology,395.39,78.79
2022-05-04,South,Technology,1617.56,-158.12
2023-07-18,West,Furniture,565.78,-26.09
2022-07-05,East,Furniture,673.91,-46.83
2021-12-04,East,Technology,840.41,-50.02
2023-05-22,South,Office Supplies,878.78,46.76
2022-10-03,Central,Furniture,834.45,29.54
2022-04-18,West,Office Supplies,1017.41,-55.48
2021-05-31,Central,Office Supplies,1632.74,412.91
2021-09-20,Central,Office Supplies,1642.18,240.04
2021-05-24,East,Office Supplies,1600.66,349.88
2021-12-12,West,Furniture,220.23,10.71
2022-09-16,Central,Technology,1603.36,102.77
2023-10-14,South,Technology,258.1,6.98
2023-05-31,South,Furniture,266.95,20.12
2021-01-02,East,Furniture,1896.77,273.42
2023-06-16,South,Office Supplies,1642.41,159.63
2021-09-11,South,Office Supplies,1113.77,261.92
2022-03-29,Central,Furniture,1752.44,455.73
2023-11-27,South,Technology,1978.94,173.9
2023-10-12,South,Office Supplies,1229.07,-5.04
2021-01-09,Central,Furniture,1233.54,343.02
2023-03-27,East,Furniture,1513.77,293.69
2021-07-27,East,Furniture,479.64,74.85
2022-02-08,West,Office Supplies,350.91,69.54
2021-06-01,South,Furniture,1523.97,-106.08
2021-02-23,Central,Technology,702.91,-51.28
2022-09-20,West,Furniture,287.44,-11.14
2022-08-10,East,Office Supplies,643.46,-26.39
2021-04-14,East,Technology,730.1,49.84
2021-09-11,Central,Technology,1931.15,-71.53
2022-05-25,West,Furniture,1401.96,339.01
2021-04-09,West,Furniture,1071.1,140.57
2021-06-02,Central,Technology,1938.37,91.69
2023-07-03,Central,Furniture,1808.22,-130.46
2023-05-28,West,Office Supplies,1033.76,141.02
2021-12-04,East,Technology,1813.25,-96.8
2023-04-02,South,Furniture,820.52,161.88
2023-08-15,East,Technology,476.23,105.3
2021-06-10,Central,Furniture,480.7,56.53
2023-03-12,West,Furniture,1331.38,-53.47
2022-02-02,West,Office Supplies,1012.12,217.35
2023-03-27,South,Furniture,1324.72,30.64
2022-02-05,West,Furniture,1378.43,-15.08
2022-10-02,South,Furniture,64.2,5.66
2023-11-23,East,Office Supplies,127.0,34.17
2022-11-19,East,Furniture,1074.7,20.36
2022-04-05,West,Furniture,398.25,104.43
2023-08-13,West,Furniture,1272.42,-99.93
2022-04-15,Central,Technology,1113.33,-74.14
2023-11-12,Central,Office Supplies,1179.81,211.69
2023-01-20,West,Technology,618.86,-14.71
2021-02-07,West,Office Supplies,1286.89,34.29
2021-08-18,East,Office Supplies,1662.4,-75.56
2022-07-17,West,Technology,1996.18,65.67
2022-03-14,Central,Office Supplies,1680.12,20.47
2021-01-27,East,Office Supplies,1123.85,218.63
2021-08-14,South,Technology,402.99,72.86
2023-03-09,Central,Furniture,1369.26,386.09
2021-10-11,Central,Office Supplies,1876.55,356.11
2023-05-29,East,Technology,439.5,78.2
2023-08-18,South,Office Supplies,526.87,93.62
2022-03-29,Central,Technology,315.04,79.76
2023-10-17,West,Furniture,1478.71,27.35
2023-03-27,Central,Office Supplies,824.99,16.53
2022-10-21,East,Furniture,144.14,28.32
2022-07-01,East,Furniture,1752.4,-14.93
2023-12-09,East,Technology,1124.19,297.69
2021-01-17,Central,Office Supplies,675.57,76.96
2021-06-07,South,Office Supplies,701.09,14.06
2022-04-22,West,Office Supplies,594.7,125.15
2023-12-06,East,Office Supplies,921.85,22.98
2022-06-02,South,Office Supplies,687.34,196.11
2021-04-09,West,Technology,1104.93,323.96
2023-11-27,East,Office Supplies,1551.56,258.67
2021-10-07,West,Furniture,1355.43,-73.93
2022-05-12,West,Furniture,603.02,3.19
2021-10-29,South,Office Supplies,1066.91,113.27
2021-06-30,West,Technology,1683.45,405.0
2022-08-30,East,Technology,155.05,-4.04
2022-12-01,South,Office Supplies,175.03,-10.19
2023-09-20,Central,Furniture,1121.22,-78.72
2021-07-10,Central,Office Supplies,1285.45,132.13
2021-09-10,South,Office Supplies,438.6,111.35
2023-09-08,Central,Office Supplies,1495.54,-124.21
2023-07-17,West,Technology,1299.6,-19.59
2021-05-08,East,Technology,1848.11,327.68
2021-01-18,West,Furniture,354.53,81.66
2022-07-20,South,Furniture,1507.72,336.16
2022-07-24,East,Office Supplies,185.61,39.73
2022-11-17,South,Furniture,1139.28,-54.78
2022-09-18,South,Office Supplies,1112.75,65.54
2023-05-04,South,Furniture,789.0,231.89
2023-08-20,West,Office Supplies,1692.25,500.15
2021-06-04,East,Technology,28.65,4.04
2022-05-05,East,Office Supplies,1049.96,192.88
2023-02-24,East,Technology,449.96,126.22
2021-09-03,West,Technology,1492.13,119.33
2023-11-29,Central,Furniture,105.27,-4.76
2023-01-29,West,Furniture,1666.48,279.27
2022-06-22,West,Technology,1679.42,477.02
2023-07-10,South,Office Supplies,1669.07,298.57
2022-02-12,East,Office Supplies,322.09,71.29
2022-06-09,East,Furniture,1268.2,87.63
2023-04-08,Central,Office Supplies,48.45,-2.98
2023-06-22,Central,Office Supplies,1698.97,-55.13
2021-02-05,South,Office Supplies,1451.49,425.38
2022-11-16,East,Technology,1071.68,104.25
2021-01-20,Central,Technology,1466.57,-139.61
2021-11-17,Central,Office Supplies,206.76,58.34
2022-05-27,East,Furniture,1066.74,105.73
2022-02-04,West,Office Supplies,596.73,139.94
2022-10-16,Central,Furniture,1945.79,232.29
2023-08-30,East,Technology,1717.09,-101.86
2022-04-16,Central,Office Supplies,1471.89,215.23
2023-04-14,South,Office Supplies,1868.82,558.7
2022-12-28,Central,Furniture,706.75,-60.85
2023-05-04,East,Furniture,1803.74,426.98
2021-02-20,Central,Office Supplies,663.97,-3.86
2022-07-29,South,Office Supplies,1470.94,84.65
2021-05-30,South,Furniture,1478.11,72.55
2021-11-10,Central,Technology,56.33,14.62
2022-07-24,Central,Furniture,734.9,74.81
2021-11-01,South,Office Supplies,58.48,4.61
2022-11-13,South,Technology,1994.24,453.11
2023-04-18,West,Technology,261.95,-21.07
2023-12-14,West,Technology,1094.77,-71.62
2023-09-30,South,Technology,1585.3,-144.78
2022-03-20,Central,Office Supplies,418.5,73.32
2022-09-05,East,Technology,980.4,108.09
2023-09-20,Central,Furniture,1222.71,306.18
2021-09-21,Central,Furniture,337.21,33.52
2023-12-13,West,Furniture,1561.54,-17.6
2023-10-01,West,Office Supplies,612.69,136.05
2021-01-05,West,Technology,437.83,7.76
2023-02-13,South,Furniture,1125.41,308.67
2023-05-27,South,Furniture,832.42,0.14
2023-09-19,Central,Furniture,1842.17,-60.63
2023-06-03,Central,Technology,1762.52,171.55
2021-02-16,East,Furniture,977.03,-77.96
2023-05-17,Central,Technology,731.34,-62.48
2023-04-03,Central,Technology,664.53,65.39
2023-07-25,West,Technology,549.78,-7.67
2022-10-18,West,Office Supplies,1098.2,-105.71
2021-09-26,West,Office Supplies,1613.86,29.73
2022-01-05,West,Technology,635.3,57.78
2022-09-28,West,Technology,396.39,22.88
2022-10-19,East,Office Supplies,961.46,-44.05
2021-04-30,East,Office Supplies,156.69,20.66
2023-04-11,East,Technology,1408.53,259.36
2023-12-18,West,Office Supplies,1046.35,178.11
2023-01-11,South,Furniture,1002.82,57.67
2021-04-27,West,Technology,614.88,-27.65
2023-03-02,West,Technology,1811.25,180.75
2023-10-10,East,Office Supplies,199.16,51.02
2023-12-18,West,Furniture,1742.25,152.43
2022-09-26,East,Office Supplies,765.88,-16.64
2022-05-28,West,Furniture,1763.63,-110.72
2023-03-13,Central,Furniture,1462.95,406.07
2022-07-14,South,Technology,226.26,44.62
2022-05-03,South,Furniture,1666.44,41.97
2023-06-16,East,Technology,1370.71,24.87
2022-12-05,Central,Furniture,83.96,21.67
2022-08-04,South,Technology,284.73,-8.25
2023-03-01,East,Furniture,1278.54,145.77
2023-05-11,West,Office Supplies,1331.95,246.95
2021-09-04,West,Furniture,1498.37,87.74
2021-06-03,Central,Office Supplies,1446.09,-121.53
2023-09-24,South,Furniture,1325.85,-11.8
2022-11-28,West,Furniture,1537.15,400.77
2023-12-29,East,Technology,1158.67,126.58
2023-12-07,West,Furniture,536.37,121.31
2023-10-06,West,Furniture,1826.51,223.34
2021-04-04,South,Furniture,56.06,15.55
2023-08-16,South,Office Supplies,745.79,196.63
2023-10-09,East,Technology,1463.16,136.3
2022-03-29,Central,Technology,865.77,23.64
2023-07-01,Central,Furniture,69.17,9.73
2021-08-06,West,Furniture,150.64,25.6
2022-04-19,East,Office Supplies,1304.3,129.57
2022-03-08,Central,Furniture,1930.43,441.9
2021-12-07,Central,Technology,1112.69,-29.67
2022-07-05,West,Technology,1023.38,34.55
2021-12-23,East,Office Supplies,650.28,113.51
2021-01-23,Central,Office Supplies,528.25,-0.7
2022-06-06,South,Technology,61.55,4.67
2023-03-13,South,Office Supplies,560.45,160.0
2023-02-01,West,Furniture,909.24,136.7
2022-03-18,West,Furniture,411.94,115.19
2023-02-08,West,Office Supplies,192.95,36.46
2023-10-13,West,Technology,1441.1,273.62
2022-05-31,Central,Office Supplies,1791.35,244.95
2023-11-06,East,Technology,1874.81,-80.84
2023-03-03,West,Office Supplies,1243.64,134.17
2021-12-02,West,Office Supplies,124.49,0.13
2021-09-15,Central,Office Supplies,1486.91,445.28
2022-05-12,West,Furniture,237.99,1.61
2023-06-15,West,Furniture,1346.1,-10.4
2021-06-09,East,Technology,1563.14,233.77
2023-05-02,South,Office Supplies,1457.21,152.1
2022-11-21,West,Furniture,1904.73,-174.2
2022-01-15,Central,Office Supplies,1481.53,-71.39
2023-08-15,East,Technology,1392.56,312.51
2022-11-22,Central,Furniture,538.25,50.31
2023-12-03,East,Technology,1851.04,-76.99
2021-10-12,East,Furniture,375.5,32.33
2022-02-01,West,Office Supplies,1811.7,2.28
2021-01-12,West,Technology,639.07,-6.75
2022-05-14,West,Furniture,277.72,78.62
2023-01-24,South,Furniture,1656.83,74.24
2021-02-04,South,Office Supplies,24.94,-2.03
2022-12-28,Central,Technology,1667.53,480.47
2023-04-29,West,Technology,539.38,117.55
2021-03-31,South,Technology,1771.75,3.13
2023-02-15,West,Office Supplies,1389.13,88.29
2022-08-28,South,Furniture,1339.04,327.95
2023-08-28,South,Furniture,743.33,31.94
2023-10-19,East,Technology,137.62,17.47
2022-02-22,West,Furniture,1663.54,189.55
2021-04-25,West,Technology,358.39,21.69
2022-09-09,South,Office Supplies,757.07,117.95
2023-04-06,West,Office Supplies,1208.7,107.96
2022-02-17,South,Office Supplies,974.86,-89.21
2022-12-30,West,Technology,413.35,93.32
2023-10-18,East,Furniture,298.42,-16.33
2023-01-31,West,Office Supplies,264.03,22.61
2022-11-07,East,Technology,1728.76,228.13
2022-04-02,Central,Technology,82.49,15.03
2023-07-09,West,Office Supplies,1954.49,125.71
2021-07-11,West,Office Supplies,413.09,80.23
2023-01-09,West,Office Supplies,238.44,-11.32
2023-09-05,East,Furniture,1162.4,187.59
2023-10-06,West,Furniture,178.37,41.12
2021-04-06,West,Technology,1212.86,310.22
2022-10-25,South,Office Supplies,1704.24,224.66
2021-02-06,Central,Office Supplies,114.84,2.89
2021-10-06,East,Furniture,1603.74,-55.58
2021-08-05,South,Office Supplies,801.07,30.62
2023-05-17,East,Technology,335.79,38.95
2023-05-23,South,Office Supplies,368.67,-7.91
2021-03-03,Central,Furniture,1839.15,516.81
2022-08-19,South,Technology,239.0,61.87
2022-12-30,East,Technology,1736.23,-150.73
2022-02-01,West,Office Supplies,1097.6,136.96
2022-11-30,West,Technology,97.33,21.0
2023-11-09,Central,Office Supplies,939.66,-1.73
2021-06-26,East,Office Supplies,1638.55,179.52
2022-01-31,East,Furniture,1457.88,90.97
2022-03-21,East,Technology,987.79,-21.12
2021-03-17,Central,Office Supplies,1722.9,251.36
2021-09-22,West,Office Supplies,258.32,76.84
2022-03-31,South,Office Supplies,1821.68,84.01
2022-12-19,Central,Technology,1695.95,205.13
2023-01-05,South,Technology,1422.39,44.3
2023-05-01,West,Technology,1639.42,411.13
2021-05-24,Central,Office Supplies,1096.75,269.63
2023-06-04,West,Technology,1356.82,-38.66
2023-12-29,South,Office Supplies,1129.98,293.77
2022-01-31,East,Technology,723.75,-28.51
2023-11-15,East,Technology,1146.34,-70.87
2023-08-06,South,Office Supplies,529.78,85.39
2023-06-10,East,Technology,891.75,48.48
2022-07-23,South,Office Supplies,575.94,64.68
2023-11-29,Central,Technology,263.32,42.4
2021-04-19,Central,Technology,657.29,-51.84
2023-12-02,Central,Technology,1706.93,29.33
2023-07-24,East,Technology,774.54,65.34
2022-02-02,West,Furniture,1501.05,9.96
2022-09-26,East,Office Supplies,366.89,-29.5
2023-01-03,East,Furniture,860.35,-56.21
2021-08-23,West,Technology,247.42,54.61
2022-10-20,West,Technology,294.47,77.9
2023-01-21,West,Office Supplies,1242.52,-48.59
2022-08-11,West,Office Supplies,1222.81,-0.36
2023-10-30,East,Office Supplies,442.48,71.19
2023-08-12,South,Office Supplies,959.36,270.26
2022-05-07,Central,Technology,1729.35,34.3
2023-07-02,South,Office Supplies,364.92,88.34
2021-06-19,East,Furniture,58.04,5.94
2023-08-04,West,Office Supplies,1310.95,370.51
2023-03-06,Central,Office Supplies,125.93,-5.73
2022-09-26,Central,Furniture,1960.28,567.44
2021-01-29,South,Furniture,1227.05,93.74
2021-12-05,East,Furniture,951.38,267.5
2022-05-15,East,Furniture,871.39,72.74
2022-05-26,East,Office Supplies,1154.68,129.36
2021-08-05,Central,Furniture,199.44,44.26
2023-12-30,South,Technology,1861.44,351.91
2022-03-21,Central,Office Supplies,1258.77,186.1
2023-05-26,Central,Technology,384.28,25.67
2021-06-16,West,Office Supplies,1133.91,246.03
2021-04-01,South,Office Supplies,283.85,79.28
2022-12-15,West,Technology,54.75,-5.26
2021-02-08,East,Furniture,1268.42,171.41
2021-06-22,Central,Furniture,1304.0,321.3
2022-10-15,South,Technology,1175.72,189.58
2023-01-24,East,Furniture,383.3,84.45
2023-12-18,South,Office Supplies,1214.79,313.45
2022-04-21,Central,Office Supplies,131.89,26.43
2022-04-01,South,Office Supplies,1226.29,229.08
2023-04-09,East,Furniture,1116.95,319.33
2023-06-14,West,Furniture,1317.4,323.39
2023-10-22,Central,Technology,1793.04,405.5
2022-01-22,West,Office Supplies,1703.71,-111.49
2021-12-14,Central,Technology,1961.7,-8.61
2021-07-09,East,Furniture,1952.96,239.63
2022-05-20,Central,Technology,1549.19,284.78
2023-04-04,West,Furniture,1913.71,40.74
2023-07-18,Central,Office Supplies,1737.22,-108.87
2023-07-23,East,Office Supplies,1460.61,35.7
2021-05-14,Central,Furniture,169.26,35.28
2021-02-27,West,Furniture,117.12,29.39
2022-11-16,East,Furniture,1678.45,445.06
2022-11-03,West,Office Supplies,989.52,51.01
2021-06-22,Central,Furniture,1632.92,80.04
2023-03-26,South,Office Supplies,639.58,40.09
2021-03-21,West,Technology,807.35,40.63
2023-06-05,Central,Office Supplies,1406.37,234.13
2021-07-22,South,Technology,1832.35,79.39
2023-02-03,South,Office Supplies,193.77,-17.8
2021-02-16,East,Office Supplies,1725.73,130.48
2022-10-18,South,Furniture,1590.17,-16.44
2022-04-16,West,Office Supplies,644.77,-57.05
2023-08-29,West,Furniture,723.33,63.9
2023-11-02,South,Furniture,111.99,-1.97
2023-01-06,Central,Furniture,51.17,4.15
2023-02-23,West,Office Supplies,964.47,10.71
2023-08-26,West,Furniture,209.17,29.59
2021-12-24,East,Technology,404.12,119.76
2023-08-30,Central,Technology,1696.6,201.71
2022-10-30,South,Office Supplies,1150.64,182.67
2022-01-08,Central,Furniture,1274.59,341.22
2023-10-29,East,Technology,391.21,19.4
2022-11-07,East,Office Supplies,1660.75,-55.44
2021-03-31,Central,Office Supplies,1738.6,22.81
2022-11-29,East,Office Supplies,1056.19,64.55
2022-06-24,East,Office Supplies,1826.86,288.66
2023-01-02,East,Office Supplies,1692.76,-166.17
2023-05-19,Central,Furniture,1468.02,354.31
2021-02-10,East,Furniture,1473.47,-102.5
2023-01-10,South,Furniture,228.68,59.52
2022-05-17,South,Furniture,556.26,155.63
2023-08-17,West,Office Supplies,152.36,45.1
2023-07-18,South,Office Supplies,37.19,8.32
2022-04-06,West,Technology,333.45,-14.42
2023-01-02,Central,Technology,1763.36,321.75
2023-01-22,East,Furniture,494.95,-9.24
2023-07-14,South,Office Supplies,1940.9,502.4
2023-06-28,West,Technology,1202.64,32.04
2022-01-25,Central,Technology,489.77,15.04
2023-06-02,West,Technology,1004.32,268.22
2021-09-13,East,Technology,453.81,-42.98
2022-12-10,South,Furniture,1968.27,-44.12
2022-03-26,Central,Office Supplies,1697.58,116.75
2021-01-10,West,Furniture,71.95,12.97
2023-04-04,Central,Technology,1896.6,301.61
2023-03-09,West,Technology,1447.71,242.87
2023-05-27,West,Office Supplies,183.11,46.15
2023-10-26,East,Office Supplies,1347.86,-69.53
2023-10-13,East,Furniture,1300.91,141.62
2022-01-09,West,Office Supplies,453.2,86.19
2023-12-25,South,Furniture,1521.72,235.03
2021-05-26,Central,Furniture,192.39,15.26
2021-08-12,Central,Technology,989.1,-92.14
2021-06-26,East,Furniture,39.65,-3.01
2023-05-03,South,Technology,1938.1,-101.6
2021-03-04,West,Furniture,1508.1,56.24
2023-04-07,East,Furniture,334.53,-17.71
2023-03-06,West,Office Supplies,696.51,49.06
2022-11-20,West,Office Supplies,337.91,-9.65
2021-04-15,East,Technology,1537.9,325.52
2022-05-26,South,Office Supplies,136.61,33.96
2022-01-20,Central,Furniture,1684.01,94.07
2022-02-09,East,Technology,1885.55,197.1
2023-04-03,South,Technology,1359.72,382.62
2022-06-02,West,Technology,441.67,50.44
2022-04-21,East,Furniture,732.98,218.45
2022-12-10,Central,Office Supplies,964.93,-41.63
2023-02-10,Central,Technology,1217.16,298.07
2023-11-13,West,Furniture,1343.95,132.89
2023-09-24,East,Office Supplies,1117.35,-101.58
2022-11-08,Central,Office Supplies,715.6,206.73
2022-12-15,East,Technology,1784.02,510.26
2021-03-24,Central,Furniture,181.16,9.66
2022-04-02,West,Office Supplies,943.19,265.66
2021-01-01,West,Furniture,1555.62,-67.82
2021-02-20,East,Office Supplies,140.53,24.18
2022-11-16,South,Technology,1416.56,-32.9
2022-12-18,South,Technology,1643.03,-2.2
2022-03-25,West,Office Supplies,1328.45,281.28
2023-05-31,Central,Furniture,45.62,2.32
2022-05-03,South,Office Supplies,376.67,-36.59
2021-02-03,West,Furniture,697.38,45.81
2021-04-05,Central,Office Supplies,482.71,-4.23
2021-06-03,Central,Technology,1926.05,333.85
2021-09-07,South,Furniture,1310.16,-29.11
2022-11-05,West,Technology,608.0,144.04
2022-03-14,Central,Furniture,1860.8,12.72
2021-04-28,Central,Office Supplies,1486.38,85.04
2023-02-10,East,Technology,583.52,11.21
2021-09-25,East,Technology,770.19,121.36
2023-12-14,South,Furniture,414.87,-24.7
2021-08-24,East,Furniture,1942.73,177.25
2022-01-24,West,Furniture,1044.25,35.28
2023-09-17,South,Technology,1794.19,455.11
2023-02-02,South,Office Supplies,706.07,-49.87
2022-02-05,East,Furniture,1724.47,399.87
2022-09-16,Central,Office Supplies,126.7,-4.17
2023-02-06,West,Furniture,1964.54,-126.85
2023-07-08,West,Office Supplies,1825.83,-34.82
2023-05-03,West,Furniture,739.14,-43.56
2022-08-01,South,Office Supplies,1553.95,168.44
2021-03-16,West,Technology,1509.47,445.73
2022-03-11,Central,Furniture,1804.48,-155.67
2021-04-13,Central,Furniture,628.36,53.07
2023-02-03,East,Technology,941.73,51.26
2023-01-08,West,Furniture,1732.7,62.1
2023-03-17,South,Furniture,1561.59,51.13
2021-04-08,East,Technology,799.06,206.16
2023-03-09,Central,Technology,1694.54,-156.59
2023-05-09,West,Office Supplies,112.97,23.72
2022-03-11,Central,Technology,1568.45,1.84
2022-03-23,East,Technology,429.4,22.89
2021-09-06,Central,Furniture,586.52,39.92
